"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TOBS","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2021-07-01","0.23","0.0","0.0",,"73",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-02","0.23","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-03","0.59","0.0","0.0",,"60",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-04","0.22","0.0","0.0",,"62",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-05","0.00","0.0","0.0",,"62",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-06","0.00","0.0","0.0",,"73",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-07","0.21","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-08","0.00","0.0","0.0",,"72",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-09","2.28","0.0","0.0",,"71",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-10","0.41","0.0","0.0",,"71",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-11","0.00","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-12","0.24","0.0","0.0",,"71",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-13","0.30","0.0","0.0",,"68",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-14","0.03","0.0","0.0",,"70",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-15","0.01","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-16","0.00","0.0","0.0",,"72",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-17","0.00","0.0","0.0",,"71",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-18","0.57","0.0","0.0",,"72",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-19","0.00","0.0","0.0",,"70",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-20","0.00","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-21","0.00","0.0","0.0",,"69",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-22","0.02","0.0","0.0",,"62",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-23","0.00","0.0","0.0",,"65",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-24","0.00","0.0","0.0",,"59",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-25","0.17","0.0","0.0",,"67",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-26","0.00","0.0","0.0",,"73",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-27","0.00","0.0","0.0",,"71",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2021-07-28","0.50","0.0","0.0",,"68",,,,,,,,,,
